ID,Hour,value
p2881,323,0.0
p2882,323,0.0
p2883,323,0.0
p2884,323,0.0
p2885,323,0.0
p2886,323,0.0
p2887,323,0.0
p2888,323,0.0
p2889,323,0.0
p2890,323,0.0
p2891,323,0.0
p2892,323,0.0
p2893,323,0.0
p2894,323,0.0123
p2895,323,0.0
p2896,323,0.0
p2897,323,0.0
p2898,323,0.0
p2899,323,0.0
p2900,323,0.0
p2901,323,0.0
p2902,323,0.0
p2903,323,0.0
p2904,323,0.0
p2905,323,0.0
p2906,323,0.0
p2907,323,0.0
p2908,323,0.0
p2909,323,0.0
p2910,323,0.0
p2911,323,0.0
p2912,323,0.0
p2913,323,0.0
p2914,323,0.0
p2915,323,0.0
p2916,323,0.0
p2917,323,0.0
p2918,323,0.0
p2919,323,0.0
p2920,323,0.0
p2921,323,0.0
p2922,323,0.006
p2923,323,0.0
p2924,323,0.03174287568024958
p2925,323,0.0
p2926,323,0.0
p2927,323,0.0
p2928,323,0.0
p2929,323,0.0152
p2930,323,0.0
p2931,323,0.0
p2932,323,0.0
p2933,323,0.0
p2934,323,0.0
p2935,323,0.0128
p2936,323,0.0
p2937,323,0.0
p2938,323,0.0
p2939,323,0.0
p2940,323,0.0
p2941,323,0.0
p2942,323,0.0
p2943,323,0.0
p2944,323,0.0
p2945,323,0.0
p2946,323,0.0115
p2947,323,0.0
p2948,323,0.0
p2949,323,0.0
p2950,323,0.0
p2951,323,0.0
p2952,323,0.0
p2953,323,0.0
p2954,323,0.0
p2955,323,0.0
p2956,323,0.0
p2957,323,0.0
p2958,323,0.0
p2959,323,0.01568
p2960,323,0.0
p2961,323,0.0
p2962,323,0.0
p2963,323,0.0
p2964,323,0.0
p2965,323,0.0
p2966,323,0.0
p2967,323,0.0
p2968,323,0.0
p2969,323,0.0
p2970,323,0.0
p2971,323,0.0
p2972,323,0.0025
p2973,323,0.0
p2974,323,0.0
p2975,323,0.0
p2976,323,0.0
p2977,323,0.0
p2978,323,0.0
p2979,323,0.0
p2980,323,0.0
p2981,323,0.0
p2982,323,0.0
p2983,323,0.0
p2984,323,0.0
p2985,323,0.0
p2986,323,0.0
p2987,323,0.0
p2988,323,0.0
p2989,323,0.0
p2990,323,0.0
p2991,323,0.0
p2992,323,0.0
p2993,323,0.0
p2994,323,0.0
p2995,323,0.0
p2996,323,0.0
p2997,323,0.0
p2998,323,0.0
p2999,323,0.0
p3000,323,0.004
p3001,323,0.0
p3002,323,0.0
p3003,323,0.0
p3004,323,0.0
p3005,323,0.0
p3006,323,0.0
p3007,323,0.0
p3008,323,0.0
p3009,323,0.0
p3010,323,0.0
p3011,323,0.0
p3012,323,0.009
p3013,323,0.0
p3014,323,0.0
p3015,323,0.0
p3016,323,0.0
