id,From,To,Voltage,Reactance,Resistance,Circuits,ThermalLimit
l7309_1,n5546,n7720,220,6.425662968,1.28086305,2,1.29
l6935_1,n6839,n7723,220,5.415966286,1.079594609,2,1.29
l900_1,n5553,n7726,220,3.480985514,0.693884156,2,1.29
l977_1,n5535,n7726,220,9.011921196,1.796396252,2,1.29
l398_1,n5696,n7729,220,5.79872117,1.155891263,2,1.29
l856,n3323,n7769,220,2.106480683,0.419896482,1,1.29
l1018,n6854,n7790,220,2.637966181,0.525840435,1,1.29
l1036_1,n4678,n7795,220,2.260073558,0.450513002,2,1.29
l535_1,n4685,n7795,220,5.519452654,1.10022312,2,1.29
l695_1,n4683,n7795,220,3.71186444,0.739906533,2,1.29
l927_1,n4787,n7823,220,10.08241331,2.009783385,2,1.29
l887_1,n4599,n7823,220,3.84460552,0.766366549,2,1.29
l1015_1,n4580,n7823,220,3.839534643,0.765355743,2,1.29
l1041,n4746,n7852,220,2.381444239,0.474706493,1,1.29
l565_1,n4748,n7852,220,10.62825356,2.118588749,2,1.29
l860_1,n4644,n7872,220,3.747062695,0.746922796,2,1.29
l1025_1,n5666,n7879,220,4.423967953,0.881854077,2,1.29
l570_1,n5662,n7879,220,4.320557993,0.861240796,2,1.29
l1043_1,n4755,n7884,220,2.719477769,0.542088592,2,1.29
l711_1,n4589,n7884,220,2.989645436,0.595942612,2,1.29
l946_1,n4744,n7884,220,8.836691286,1.761466702,2,1.29
l689_1,n4720,n7888,220,4.487039042,0.894426387,2,1.29
l559_1,n4520,n7892,220,9.129091808,1.81975252,2,1.29
l560_1,n4513,n7892,220,15.69374615,3.128321491,2,1.29
l987_1,n4524,n7892,220,2.271186933,0.452728292,2,1.29
l914_1,n5546,n7901,220,23.05497548,4.595676175,2,1.29
l6919,n5591,n7901,220,1.548087459,0.308588862,1,1.29
l974_1,n5535,n7901,220,18.1350035,3.614950865,2,1.29
l11588,n4733,n7910,220,19.96892578,3.980516766,1,1.29
l693_1,n4500,n7910,220,44.37969293,8.846450418,2,1.29
l833_1,n4735,n7910,220,2.04343218,0.407328674,2,1.29
l1024_1,n4761,n7938,220,4.744683933,0.945784173,2,1.29
l705_1,n4593,n7938,220,3.638297718,0.72524207,2,1.29
l710_1,n4763,n7938,220,7.089992558,1.413287553,2,1.29
l1026_1,n5657,n7952,220,4.701499643,0.937176009,2,1.29
l713_1,n5644,n7952,220,4.210755454,0.839353247,2,1.29
l941_1,n3505,n7975,220,2.830852556,0.564289546,2,1.29
l688_1,n3466,n7975,220,5.784255536,1.153007748,2,1.29
l1012_1,n3471,n7975,220,3.494264478,0.696531125,2,1.29
l522_1,n3320,n7984,220,3.71752081,0.741034048,3,1.29
l684_1,n3303,n7984,220,15.95160026,3.179720983,2,1.29
l990_1,n3318,n7984,220,7.304518463,1.456050192,2,1.29
l575_1,n4545,n7989,220,23.26857704,4.63825456,2,1.29
l728_1,n5540,n7989,220,6.533289242,1.302316793,2,1.29
l978_1,n7726,n7989,220,2.437728206,0.485925888,2,1.29
l1035_1,n4683,n7996,220,2.313348551,0.461132602,2,1.29
l891_1,n4685,n7996,220,8.442787908,1.682947756,2,1.29
l832_1,n4680,n7996,220,2.933483137,0.584747469,2,1.29
l6470,n4575,n8016,220,6.634898614,1.322571152,1,1.29
l6469,n4501,n8016,220,1.724769766,0.343807927,1,1.29
l894_1,n4515,n8016,220,3.04031696,0.606043248,2,1.29
l520_1,n5683,n8043,220,3.829213558,0.763298384,2,1.29
l571_1,n5678,n8043,220,5.966793402,1.189394034,2,1.29
l970_1,n5684,n8043,220,2.136486459,0.4258777,2,1.29
l654_1,n3489,n8045,220,13.79172716,2.749181494,2,1.29
l534_1,n4702,n8055,220,5.566678927,1.109636995,2,1.29
l655,n7852,n8055,220,2.902255949,0.578522781,1,1.29
l834,n4746,n8055,220,1.926943012,0.384108242,1,1.29
l1027_1,n5645,n8060,220,3.230048103,0.643863409,2,1.29
l568_1,n7879,n8060,220,9.447423748,1.883207392,2,1.29
l969_1,n7952,n8060,220,5.504784196,1.097299175,2,1.29
l744_1,n3493,n3497,380,3.54461917,0.432270631,2,2.58
l746_1,n3306,n3308,380,7.747710373,0.944842728,2,2.58
l835_1,n3306,n3309,380,2.570221971,0.313441704,2,2.58
l532_1,n3305,n3311,380,2.974263079,0.36271501,3,2.58
l745_1,n3496,n3497,380,5.051295405,0.616011635,2,2.58
l747_1,n3305,n3312,380,8.398318988,1.024185243,2,2.58
l635_1,n3304,n3313,380,12.77854682,1.558359368,3,2.58
l579_1,n3314,n3315,380,5.665309979,0.690891461,2,2.58
l827_1,n3313,n3315,380,2.624076296,0.320009304,2,2.58
l531_1,n3315,n3319,380,13.58203867,1.65634618,3,2.58
l748_1,n3319,n3322,380,14.01163108,1.708735498,2,2.58
l963_1,n3322,n3324,380,6.305688318,0.76898638,2,2.58
l11480_1,n3455,n3457,380,17.15031241,2.091501513,3,2.58
l6683_1,n3453,n3457,380,3.180056661,0.387811788,2,2.58
l600,n3465,n3467,380,1.794165365,0.218800654,1,2.58
l609_1,n3455,n3467,380,28.66094208,3.495236839,3,2.58
l660_1,n3472,n3473,380,7.938295655,0.968084836,2,2.58
l731_1,n3461,n3477,380,27.31587333,3.331204065,2,2.58
l577_1,n3477,n3478,380,9.77431202,1.191989271,2,2.58
